Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
-57.811	1.564608	-57.749	0	-57.749	0	-57.811	94.14082	-57.645	0	-57.645	0	-57.645	1.256639	-57.645	150.0002	-57.749	0.133772					-57.438	27.43821	-57.645	0	-57.645	0	0	"Wavelength 280 {nm} Off {nm} Off {nm} (Issued) (Processing)"	-57.749	0.01012887	-57.645	0.126339	-57.645	0.05558245	-57.645	0.07071777	-57.438	20	
-57.807	1.548314	-57.739	0	-57.739	0	-57.807	94.17209	-57.625	0	-57.625	0	-57.625	1.256639	-57.625	150.0002	-57.739	0.1331276					-57.397	27.40004	-57.625	0	-57.625	0	0	"Wavelength 280 {nm} Off {nm} Off {nm} (Completed)"	-57.739	0.01015262	-57.625	0.1260267	-57.625	0.05485949	-57.625	0.07065292	-57.397	20	
-57.803	1.543828	-57.728	0	-57.728	0	-57.803	94.20001	-57.604	0	-57.604	0	-57.604	1.256639	-57.604	150.0002	-57.728	0.1331633					-57.355	27.37232	-57.604	0	-57.604	0	0	"Noise reduction UV 0.2 {sec} (Issued) (Processing)"	-57.728	0.01023386	-57.604	0.1235024	-57.604	0.05316015	-57.604	0.06995605	-57.355	20	
-57.799	1.565925	-57.718	0	-57.718	0	-57.799	94.19902	-57.583	0	-57.583	0	-57.583	1.256639	-57.583	150.0002	-57.718	0.1333269					-57.314	27.35323	-57.583	0	-57.583	0	0	"Noise reduction UV 0.2 {sec} (Completed)"	-57.718	0.01030675	-57.583	0.1216576	-57.583	0.05233856	-57.583	0.06943543	-57.314	20	
-57.795	1.571311	-57.708	0	-57.708	0	-57.795	94.17113	-57.562	0	-57.562	0	-57.562	1.256639	-57.562	150.0002	-57.708	0.1328848					-57.272	27.33867	-57.562	0	-57.562	0	0	"Injection valve Manual load (Issued) (Processing)"	-57.708	0.01032605	-57.562	0.1221869	-57.562	0.05234532	-57.562	0.06956246	-57.272	20	
-57.79	1.579034	-57.697	0	-57.697	0	-57.79	94.12753	-57.542	0	-57.542	0	-57.542	1.256639	-57.542	150.0002	-57.697	0.1335605					-57.231	27.32599	-57.542	0	-57.542	0	0	"Injection valve Manual load (Completed)"	-57.697	0.01030418	-57.542	0.1208165	-57.542	0.0518386	-57.542	0.06899065	-57.231	20	
-57.786	1.59506	-57.687	0	-57.687	0	-57.786	94.0813	-57.521	0	-57.521	0	-57.521	1.256639	-57.521	150.0002	-57.687	0.135421					-57.189	27.31429	-57.521	0	-57.521	0	0	"Outlet valve Out-Waste (Issued) (Processing)"	-57.687	0.01024799	-57.521	0.1208796	-57.521	0.05178288	-57.521	0.06907067	-57.189	20	
-57.782	1.583827	-57.676	0	-57.676	0	-57.782	94.03848	-57.5	0	-57.5	0	-57.5	1.256639	-57.5	150.0002	-57.676	0.1364634					-57.148	27.30301	-57.5	0	-57.5	0	0	"Outlet valve Out-Waste (Completed)"	-57.676	0.01022094	-57.5	0.1207483	-57.5	0.0518286	-57.5	0.06892006	-57.148	20	
-57.778	1.587853	-57.666	0	-57.666	0	-57.778	94.00262	-57.48	0	-57.479	0	-57.48	1.256639	-57.479	150.0002	-57.666	0.1360419					-57.106	27.29162	-57.479	0	-57.479	0	0	"Column position Position 1 Down flow (Issued) (Processing)"	-57.666	0.01030009	-57.479	0.1207572	-57.48	0.05167098	-57.48	0.06902009	-57.106	20	
-57.774	1.583287	-57.656	0	-57.656	0	-57.774	93.97323	-57.459	0	-57.459	0	-57.459	1.256639	-57.459	150.0002	-57.656	0.1359906					-57.065	27.27995	-57.459	0	-57.459	0	0	"Column position Position 1 Down flow (Completed)"	-57.656	0.01038667	-57.459	0.1203999	-57.459	0.05148084	-57.459	0.06889661	-57.065	20	
-57.77	1.577469	-57.645	0	-57.645	0	-57.77	93.94831	-57.438	0	-57.438	0	-57.438	1.256639	-57.438	150.0002	-57.645	0.1356223					-57.023	27.26884	-57.438	0	-57.438	0	0	"pH valve In-line In-line (Issued) (Processing)"	-57.645	0.01031748	-57.438	0.1203277	-57.438	0.05167894	-57.438	0.06871358	-57.023	20	
-57.766	1.565467	-57.635	0	-57.635	0	-57.766	93.92648	-57.417	0	-57.417	0	-57.417	1.256639	-57.417	150.0002	-57.635	0.134261					-56.982	27.2587	-57.417	0	-57.417	0	0	"pH valve In-line In-line (Completed)"	-57.635	0.01038577	-57.417	0.1207325	-57.417	0.05201123	-57.417	0.06852723	-56.982	20	
-57.761	1.5545	-57.625	0	-57.625	0	-57.761	93.90881	-57.397	0	-57.397	0	-57.397	1.256639	-57.397	150.0002	-57.625	0.1332844					-56.941	27.24954	-57.397	0	-57.397	0	0	"Alarm air sensors Enabled Enabled Disabled (Issued) (Processing)"	-57.625	0.01039764	-57.397	0.1193703	-57.397	0.05115497	-57.397	0.06812433	-56.94	20	
-57.757	1.561792	-57.614	0	-57.614	0	-57.757	93.89638	-57.376	0	-57.376	0	-57.376	1.256639	-57.376	150.0002	-57.614	0.1334952					-56.899	27.24138	-57.376	0	-57.376	0	0	"Alarm air sensors Enabled Enabled Disabled (Completed)"	-57.614	0.01051342	-57.376	0.1192949	-57.376	0.05126849	-57.376	0.06801271	-56.899	20	
-57.753	1.5466	-57.604	0	-57.604	0	-57.753	93.88844	-57.355	0	-57.355	0	-57.355	1.256639	-57.355	150.0002	-57.604	0.1341585					-56.858	27.23388	-57.355	0	-57.355	0	0	"Inlet A A6 (Issued) (Processing)"	-57.604	0.01041557	-57.355	0.1191865	-57.355	0.05130688	-57.355	0.06791819	-56.858	20	
-57.749	1.531453	-57.594	0	-57.594	0	-57.749	93.88356	-57.334	0	-57.334	0	-57.334	1.256639	-57.334	150.0002	-57.594	0.1339157					-56.816	27.22706	-57.334	0	-57.334	0	0	"Inlet A A6 (Completed)"	-57.594	0.01043953	-57.334	0.1195524	-57.334	0.05153684	-57.334	0.06803645	-56.816	20	
-57.745	1.528026	-57.583	0	-57.583	0	-57.745	93.88129	-57.314	0	-57.314	0	-57.314	1.256639	-57.314	150.0002	-57.583	0.1329361					-56.775	27.2212	-57.314	0	-57.314	0	0	"Inlet B B1 (Issued) (Processing)"	-57.583	0.01026938	-57.314	0.1194376	-57.314	0.05157955	-57.314	0.06789877	-56.775	20	
-57.741	1.518517	-57.573	0	-57.573	0	-57.741	93.88138	-57.293	0	-57.293	0	-57.293	1.256639	-57.293	150.0002	-57.573	0.1329901					-56.733	27.21536	-57.293	0	-57.293	0	0	"Inlet B B1 (Completed)"	-57.573	0.01019831	-57.293	0.1199634	-57.293	0.05181483	-57.293	0.06819669	-56.733	20	
-57.737	1.509017	-57.562	0	-57.562	0	-57.737	93.88415	-57.272	0	-57.272	0	-57.272	1.256639	-57.272	150.0002	-57.562	0.133154					-56.692	27.20946	-57.272	0	-57.272	0	0	"System flow 1.26 {ml/min} Pre column pressure (Issued) (Processing)"	-57.562	0.01030012	-57.272	0.1198165	-57.272	0.05172352	-57.272	0.06803066	-56.692	20	
-57.732	1.505113	-57.552	0	-57.552	0	-57.732	93.88832	-57.252	0	-57.251	0	-57.252	1.256639	-57.251	150.0002	-57.552	0.1331776					-56.65	27.20402	-57.251	0	-57.251	0	0.000137754	"System flow 1.26 {ml/min} Pre column pressure (Completed)"	-57.552	0.01029241	-57.251	0.1194235	-57.251	0.05154138	-57.251	0.06774928	-56.65	20	
-57.728	1.495373	-57.542	0	-57.542	0	-57.728	93.89439	-57.231	0	-57.231	0	-57.231	1.256639	-57.231	150.0002	-57.542	0.1333206					-56.609	27.19905	-57.231	0	-57.231	0	0.000137754	"End Phase (Issued) (Processing) (Completed)"	-57.542	0.01032056	-57.231	0.1183677	-57.231	0.05103422	-57.231	0.06726566	-56.609	20	
-57.724	1.484906	-57.531	0	-57.531	0	-57.724	93.90188	-57.21	0	-57.21	0	-57.21	1.256639	-57.21	150.0002	-57.531	0.132858					-56.567	27.1944	-57.21	0	-57.21	0	0.000137754	"Phase Column CIP (Issued) (Processing) (Completed)"	-57.531	0.01024613	-57.21	0.1196715	-57.21	0.05191468	-57.21	0.06800689	-56.567	20	
-57.72	1.481071	-57.521	0	-57.521	0	-57.72	93.91017	-57.189	0	-57.189	0	-57.189	1.256639	-57.189	150.0002	-57.521	0.1334631					-56.526	27.18976	-57.189	0	-57.189	0	0.000137754	"Base SameAsMain"	-57.521	0.01024257	-57.189	0.119675	-57.189	0.05171109	-57.189	0.0678607	-56.526	20	
-57.716	1.465847	-57.511	0	-57.511	0	-57.716	93.91788	-57.169	0	-57.169	0	-57.169	1.256639	-57.169	150.0002	-57.511	0.1332311					-56.484	27.18477	-57.169	0	-57.169	0	0.000137754	"pH valve Off-line In-line (Issued) (Processing)"	-57.511	0.01036657	-57.169	0.1184282	-57.169	0.05101471	-57.169	0.06718467	-56.484	20	
-57.712	1.460197	-57.5	0	-57.5	0	-57.712	93.92561	-57.148	0	-57.148	0	-57.148	1.256639	-57.148	150.0002	-57.5	0.1337079					-56.443	27.1791	-57.148	0	-57.148	0	0.000413417	"pH valve Off-line In-line (Completed)"	-57.5	0.0102933	-57.148	0.1188805	-57.148	0.05156032	-57.148	0.06748466	-56.443	20	
-57.708	1.466988	-57.49	0	-57.49	0	-57.708	93.93289	-57.127	0	-57.127	0	-57.127	1.256639	-57.127	150.0002	-57.49	0.1326703					-56.402	27.17368	-57.127	0	-57.127	0	0.000413417	"Block Column maintenance step_(1) (Issued) (Processing) (Completed)"	-57.49	0.0103439	-57.127	0.1194453	-57.127	0.05169629	-57.127	0.06784435	-56.401	20	
-57.703	1.477617	-57.48	0	-57.48	0	-57.703	93.93887	-57.106	0	-57.106	0	-57.106	1.256639	-57.106	150.0002	-57.479	0.1333608					-56.36	27.1686	-57.106	0	-57.106	0	0.000413417	"Base SameAsMain"	-57.479	0.01040847	-57.106	0.1191857	-57.106	0.051526	-57.106	0.06757031	-56.36	20	
-57.699	1.479245	-57.469	0	-57.469	0	-57.699	93.94252	-57.086	0	-57.086	0	-57.086	1.256639	-57.086	150.0002	-57.469	0.1327621					-56.319	27.16454	-57.086	0	-57.086	0	0.000413417	"Message "Maintenance solution: 0.5 N NaOH" (Issued) (Processing) (Completed)"	-57.469	0.01026297	-57.086	0.119315	-57.086	0.05173039	-57.086	0.06764041	-56.318	20	
-57.695	1.467073	-57.459	0	-57.459	0	-57.695	93.94401	-57.065	0	-57.065	0	-57.065	1.256639	-57.065	150.0002	-57.459	0.1332369					-56.277	27.16077	-57.065	0	-57.065	0	0.000413417	"Inlet A A5 (Issued) (Processing)"	-57.459	0.010367	-57.065	0.119475	-57.065	0.05150996	-57.065	0.06799049	-56.277	20	
-57.691	1.458117	-57.448	0	-57.448	0	-57.691	93.94437	-57.044	0	-57.044	0	-57.044	1.256639	-57.044	150.0002	-57.448	0.1328307					-56.236	27.15765	-57.044	0	-57.044	0	0.0005053646	"Inlet A A5 (Completed)"	-57.448	0.01033414	-57.044	0.119306	-57.044	0.05135513	-57.044	0.0678994	-56.236	20	
-57.687	1.461561	-57.438	0	-57.438	0	-57.687	93.94324	-57.024	0	-57.023	0	-57.024	1.256639	-57.023	150.0002	-57.438	0.1322166					-56.194	27.15455	-57.023	0	-57.023	0	0.0005053646	"Inlet B B1 (Issued) (Processing)"	-57.438	0.01069457	-57.023	0.1192184	-57.023	0.05138228	-57.023	0.06782907	-56.194	20	
-57.683	1.460212	-57.428	0	-57.428	0	-57.683	93.94053	-57.003	0	-57.003	0	-57.003	1.256639	-57.003	150.0002	-57.428	0.1312416					-56.153	27.15161	-57.003	0	-57.003	0	0.0007813488	"Inlet B B1 (Completed)"	-57.428	0.01045127	-57.003	0.1193251	-57.003	0.05148293	-57.003	0.06787387	-56.153	20	
-57.679	1.46789	-57.417	0	-57.417	0	-57.679	93.93659	-56.982	0	-56.982	0	-56.982	1.256639	-56.982	150.0002	-57.417	0.1316858					-56.111	27.14816	-56.982	0	-56.982	0	0.0007813488	"Column position Position 1 Down flow (Issued) (Processing)"	-57.417	0.01062524	-56.982	0.1191772	-56.982	0.05135947	-56.982	0.06776573	-56.111	20	
-57.674	1.46235	-57.407	0	-57.407	0	-57.674	93.93137	-56.961	0	-56.961	0	-56.961	1.256639	-56.961	150.0002	-57.407	0.1318002					-56.07	27.14474	-56.961	0	-56.961	0	0.001241834	"Column position Position 1 Down flow (Completed)"	-57.407	0.01035304	-56.961	0.1190415	-56.961	0.05134353	-56.961	0.0676805	-56.07	20	
-57.67	1.449157	-57.397	0	-57.397	0	-57.67	93.92497	-56.941	0	-56.94	0	-56.941	1.256639	-56.94	150.0002	-57.397	0.1312371					-56.028	27.14121	-56.941	0	-56.94	0	0.001241834	"Outlet valve Out-Waste (Issued) (Processing)"	-57.397	0.0104863	-56.941	0.119054	-56.941	0.05138186	-56.941	0.06768296	-56.028	20	
-57.666	1.445064	-57.386	0	-57.386	0	-57.666	93.91725	-56.92	0	-56.92	0	-56.92	1.256639	-56.92	150.0002	-57.386	0.1316635					-55.987	27.13775	-56.92	0	-56.92	0	0.002072313	"Outlet valve Out-Waste (Completed)"	-57.386	0.01006096	-56.92	0.1192562	-56.92	0.05154536	-56.92	0.06776435	-55.987	20	
-57.662	1.440048	-57.376	0	-57.376	0	-57.662	93.90748	-56.899	0	-56.899	0	-56.899	1.256639	-56.899	150.0002	-57.376	0.1312151					-55.945	27.13393	-56.899	0	-56.899	0	0.002072313	"System flow 1.26 {ml/min} Pre column pressure (Issued) (Processing)"	-57.376	0.01026147	-56.899	0.1192823	-56.899	0.05156509	-56.899	0.06770048	-55.945	20	
-57.658	1.430663	-57.365	0	-57.365	0	-57.658	93.89485	-56.878	0	-56.878	0	-56.878	1.256639	-56.878	150.0002	-57.365	0.1321903					-55.904	27.12888	-56.878	0	-56.878	0	0.006068257	"System flow 1.26 {ml/min} Pre column pressure (Completed)"	-57.365	0.01019824	-56.878	0.118964	-56.878	0.0513597	-56.878	0.06751776	-55.904	20	
-57.654	1.408318	-57.355	0	-57.355	0	-57.654	93.87934	-56.858	0	-56.858	0	-56.858	1.256639	-56.858	150.0002	-57.355	0.1315032					-55.863	27.12283	-56.858	0	-56.858	0	0.006068257	"Gradient 0.0 {%B} 0.00 {CV} (Issued) (Processing)"	-57.355	0.01063885	-56.858	0.1185957	-56.858	0.05132417	-56.858	0.06720412	-55.862	20	
-57.649	1.409791	-57.345	0	-57.345	0	-57.649	93.86044	-56.837	0	-56.837	0	-56.837	1.256639	-56.837	150.0002	-57.345	0.1322109					-55.821	27.11739	-56.837	0	-56.837	0	0.007989286	"Gradient 0.0 {%B} 0.00 {CV} (Completed)"	-57.345	0.01025036	-56.837	0.1186373	-56.837	0.05148475	-56.837	0.06720097	-55.821	20	
-57.645	1.415686	-57.334	0	-57.334	0	-57.645	93.83694	-56.816	0	-56.816	0	-56.816	1.256639	-56.816	150.0002	-57.334	0.1323427					-55.78	27.1113	-56.816	0	-56.816	0	0.007989286	"System wash 50 {ml} Injection valve (Issued) (Processing)"	-57.334	0.01018935	-56.816	0.1189011	-56.816	0.05160394	-56.816	0.06735276	-55.779	20	
-57.641	1.407727	-57.324	0	-57.324	0	-57.641	93.80989	-56.796	0	-56.795	0	-56.796	1.256639	-56.795	150.0002	-57.324	0.1328148					-55.738	27.10547	-56.795	0	-56.795	0	0.01020377	"Continue 2/20/2025 7:43:14 PM -08:00 (Issued) (System)"	-57.324	0.01020996	-56.795	0.1199347	-56.795	0.05234035	-56.795	0.06788985	-55.738	20	
-57.637	1.41285	-57.314	0	-57.314	0	-57.637	93.78158	-56.775	0	-56.775	0	-56.775	1.256639	-56.775	150.0002	-57.314	0.1322495					-55.697	27.10077	-56.775	0	-56.775	0	0.01020377	"Continue 2/20/2025 7:43:14 PM -08:00 (Processing) (System)"	-57.314	0.01042666	-56.775	0.1212633	-56.775	0.05304568	-56.775	0.06846669	-55.697	20	
-57.633	1.472115	-57.303	0	-57.303	0	-57.633	93.7525	-56.754	0	-56.754	0	-56.754	1.256639	-56.754	150.0002	-57.303	0.1321953					-55.655	27.09704	-56.754	0	-56.754	0	0.01020377	"Continue 2/20/2025 7:43:14 PM -08:00 (Completed) (System)"	-57.303	0.01030487	-56.754	0.1210438	-56.754	0.0526817	-56.754	0.06813362	-55.655	20	
-57.629	1.489116	-57.293	0	-57.293	0	-57.629	93.72401	-56.733	0	-56.733	0	-56.733	1.256639	-56.733	150.0002	-57.293	0.1323098					-55.614	27.0941	-56.733	0	-56.733	0	0.01020377	"System wash 50 {ml} Injection valve (Completed)"	-57.293	0.0102302	-56.733	0.119763	-56.733	0.05198938	-56.733	0.06749827	-55.614	20	
-57.625	1.552946	-57.283	0	-57.283	0	-57.625	93.69685	-56.713	0	-56.712	0	-56.713	1.256639	-56.712	150.0002	-57.283	0.1317074					-55.572	27.09095	-56.712	0	-56.712	0	10.05227	"End_Block (Issued) (Processing) (Completed)"	-57.283	0.01028577	-56.712	0.1189472	-56.713	0.0516922	-56.713	0.06716818	-55.572	20	
-57.62	1.600187	-57.272	0	-57.272	0	-57.62	93.67171	-56.692	0	-56.692	0	-56.692	1.256639	-56.692	150.0002	-57.272	0.1315706					-55.531	27.087	-56.692	0	-56.692	0	10.05227	"Column position Position 1 Down flow (Issued) (Processing)"	-57.272	0.01021996	-56.692	0.1190817	-56.692	0.05190166	-56.692	0.06728869	-55.531	20	
-57.616	1.647192	-57.262	0	-57.262	0	-57.616	93.64907	-56.671	0	-56.671	0	-56.671	1.256639	-56.671	150.0002	-57.262	0.1304891					-55.489	27.08358	-56.671	0	-56.671	0	10.05646	"Column position Position 1 Down flow (Completed)"	-57.262	0.01038852	-56.671	0.1191287	-56.671	0.05179619	-56.671	0.06726726	-55.489	20	
-57.612	1.684712	-57.251	0	-57.251	0	-57.612	93.62959	-56.651	0	-56.65	0	-56.651	1.256639	-56.65	150.0002	-57.251	0.1320818					-55.448	27.08134	-56.65	0	-56.65	0	10.05646	"Outlet valve Out-Waste (Issued) (Processing)"	-57.251	0.01030327	-56.65	0.1188826	-56.65	0.05166635	-56.65	0.0671792	-55.448	20	
-57.608	1.726419	-57.241	0	-57.241	0	-57.608	93.61315	-56.63	0	-56.63	0	-56.63	1.256639	-56.63	150.0002	-57.241	0.13236					-55.407	27.07978	-56.63	0	-56.63	0	10.06064	"Outlet valve Out-Waste (Completed)"	-57.241	0.01047835	-56.63	0.1188446	-56.63	0.05169576	-56.63	0.06716502	-55.406	20	
-57.604	1.762066	-57.231	0	-57.231	0	-57.604	93.59948	-56.609	0	-56.609	0	-56.609	1.256639	-56.609	150.0002	-57.231	0.132224					-55.365	27.07894	-56.609	0	-56.609	0	10.06064	"pH valve In-line In-line (Issued) (Processing)"	-57.231	0.01030509	-56.609	0.1187896	-56.609	0.05159503	-56.609	0.06716058	-55.365	20	
-57.6	1.804265	-57.22	0	-57.22	0	-57.6	93.58786	-56.588	0	-56.588	0	-56.588	1.256639	-56.588	150.0002	-57.22	0.1320479					-55.324	27.07809	-56.588	0	-56.588	0	10.06382	"pH valve In-line In-line (Completed)"	-57.22	0.01029377	-56.588	0.1187189	-56.588	0.05158465	-56.588	0.06713782	-55.323	20	
-57.596	1.804457	-57.21	0	-57.21	0	-57.596	93.57867	-56.568	0	-56.567	0	-56.568	1.256639	-56.567	150.0002	-57.21	0.1308349					-55.282	27.07746	-56.567	0	-56.567	0	10.06382	"End Phase (Issued) (Processing) (Completed)"	-57.21	0.01009641	-56.567	0.1188204	-56.567	0.05173747	-56.567	0.06711903	-55.282	20	
-57.591	1.825709	-57.2	0	-57.2	0	-57.591	93.57137	-56.547	0	-56.547	0	-56.547	1.256639	-56.547	150.0002	-57.2	0.1302605					-55.241	27.07631	-56.547	0	-56.547	0	10.06382	"Phase H2O Flush (Issued) (Processing) (Completed)"	-57.2	0.0101914	-56.547	0.1190754	-56.547	0.05186779	-56.547	0.06727348	-55.24	20	
-57.587	1.830572	-57.189	0	-57.189	0	-57.587	93.56509	-56.526	0	-56.526	0	-56.526	1.256639	-56.526	150.0002	-57.189	0.1298373					-55.199	27.07457	-56.526	0	-56.526	0	10.06382	"Base SameAsMain"	-57.189	0.01032524	-56.526	0.1190099	-56.526	0.05173854	-56.526	0.06717931	-55.199	20	
-57.583	1.812186	-57.179	0	-57.179	0	-57.583	93.56013	-56.505	0	-56.505	0	-56.505	1.256639	-56.505	150.0002	-57.179	0.131588					-55.158	27.07217	-56.505	0	-56.505	0	10.06382	"Inlet A A7 (Issued) (Processing)"	-57.179	0.0101964	-56.505	0.1186525	-56.505	0.05161533	-56.505	0.06698691	-55.157	20	
-57.579	1.804437	-57.169	0	-57.169	0	-57.579	93.55605	-56.485	0	-56.484	0	-56.485	1.256639	-56.484	150.0002	-57.169	0.1319407					-55.116	27.07005	-56.484	0	-56.484	0	10.06395	"Inlet A A7 (Completed)"	-57.169	0.01020268	-56.484	0.1185198	-56.484	0.0515797	-56.484	0.06693932	-55.116	20	
-57.575	1.781661	-57.158	0	-57.158	0	-57.575	93.55241	-56.464	0	-56.464	0	-56.464	1.256639	-56.464	150.0002	-57.158	0.1317472					-55.075	27.06678	-56.464	0	-56.464	0	10.06395	"Inlet B B1 (Issued) (Processing)"	-57.158	0.01020535	-56.464	0.1185251	-56.464	0.05162467	-56.464	0.06690364	-55.075	20	
-57.571	1.798361	-57.148	0	-57.148	0	-57.571	93.54927	-56.443	0	-56.443	0	-56.443	1.256639	-56.443	150.0002	-57.148	0.1322078					-55.033	27.06272	-56.443	0	-56.443	0	10.0642	"Inlet B B1 (Completed)"	-57.148	0.01041957	-56.443	0.1184567	-56.443	0.05156912	-56.443	0.06685379	-55.033	20	
-57.567	1.775665	-57.137	0	-57.137	0	-57.567	93.54684	-56.423	0	-56.422	0	-56.423	1.256639	-56.422	150.0002	-57.137	0.1315992					-54.992	27.0587	-56.422	0	-56.422	0	10.0642	"Gradient 0.0 {%B} 0.00 {CV} (Issued) (Processing)"	-57.137	0.01023	-56.422	0.1182988	-56.422	0.05147323	-56.422	0.06679647	-54.992	20	
-57.562	1.774837	-57.127	0	-57.127	0	-57.562	93.54503	-56.402	0	-56.401	0	-56.402	1.256639	-56.402	150.0002	-57.127	0.1317848					-54.95	27.05565	-56.402	0	-56.402	0	10.06469	"Gradient 0.0 {%B} 0.00 {CV} (Completed)"	-57.127	0.01041962	-56.402	0.1179822	-56.402	0.05124836	-56.402	0.06662647	-54.95	20	
